GARY SANDERS,GARY SANDERS (OH),1182/1321 Singles/Doubles Points ROOKIE
Gary Schachtschneider,"Gary ""SHARKY"" Schachtschneider ()",1800/1800 Singles/Doubles Points AMATEUR
GARY SCHMIDT,GARY SCHMIDT (MN),1800/1800 Singles/Doubles Points AMATEUR
GARY SEEGER,GARY SEEGER (WI),1800/1800 Singles/Doubles Points AMATEUR
GARY SHERMAN,GARY SHERMAN (WI),1800/1800 Singles/Doubles Points AMATEUR
GARY SHIMOKOCHI,GARY SHIMOKOCHI (CA),1800/1800 Singles/Doubles Points AMATEUR
GARY SIXKILLER,GARY SHIMOKOCHI (CA),1800/1800 Singles/Doubles Points AMATEUR
GARY SPALDING,GARY SIXKILLER (TX),1182/1182 Singles/Doubles Points ROOKIE
GARY STEVENS,GARY STEVENS (IN),1182/1182 Singles/Doubles Points ROOKIE
GARY STEWERT,GARY STEWERT (UT),1800/1800 Singles/Doubles Points AMATEUR
GARY STUART,GARY STUART (NE),1800/1800 Singles/Doubles Points AMATEUR
Gary Tinder,Gary Tinder (),2000/2000 Singles/Doubles Points EXPERT
Gary Turner,Gary Turner (KY),1182/1182 Singles/Doubles Points ROOKIE
GARY VALERIO,GARY VALERIO (NY),1800/1800 Singles/Doubles Points AMATEUR
GARY VANDERFORD,GARY VANDERFORD (OK),1800/1800 Singles/Doubles Points AMATEUR
GARY VANDUSEN,GARY VANDUSEN (WA),1800/1800 Singles/Doubles Points AMATEUR
GARY VILLAROS,GARY VILLAROS (CA),1182/1182 Singles/Doubles Points ROOKIE
GARY VONCANNON,GARY VONCANNON (AZ),1800/1800 Singles/Doubles Points AMATEUR
Gary Waguespack,Gary Waguespack (LA),1182/1182 Singles/Doubles Points ROOKIE
GARY WARD,GARY WARD (MS),1182/1182 Singles/Doubles Points ROOKIE
GARY WARNER,GARY WARNER (NY),1800/1800 Singles/Doubles Points AMATEUR
GARY WELLINGTON,GARY WELLINGTON (IL),1800/1800 Singles/Doubles Points AMATEUR
GARY WHITE,GARY WHITE (MD),1182/1182 Singles/Doubles Points ROOKIE
GARY WHITEMAN,GARY WHITEMAN (OK),1800/1800 Singles/Doubles Points AMATEUR
GARY WINTERROTH,GARY WINTERROTH (TX),1800/1800 Singles/Doubles Points AMATEUR
GARY WOJESKI,GARY WOJESKI (NY),1800/1800 Singles/Doubles Points AMATEUR
GARY WOOD,GARY WOOD (NM),1800/1800 Singles/Doubles Points AMATEUR
GARY ZUBER,GARY ZUBER (CA),1800/1800 Singles/Doubles Points AMATEUR
Gaston Godoy,Gaston Godoy (AR),3028/3048 Singles/Doubles Points PRO
Gavin ADKISSON,Gavin ADKISSON (OK),800/800 Singles/Doubles Points BEGINNER
Gavin Bernhard,Gavin Bernhard (NY),200/200 Singles/Doubles Points JUNIOR AMATEUR
Gavin Gundersen,Gavin Gundersen (UT),400/400 Singles/Doubles Points JUNIOR AMATEUR
gavin laskowski,gavin laskowski (IL),1800/1800 Singles/Doubles Points AMATEUR
Gavin Martin,Gavin C Martin (CO),1688/2253 Singles/Doubles Points EXPERT
gavin racine,Gavin C Martin (CO),1688/2253 Singles/Doubles Points EXPERT
GAVIN WOLHAMACA,gavin racine (NY),200/200 Singles/Doubles Points JUNIOR AMATEUR
GAYLE KUPCHO,GAYLE KUPCHO (MD),1182/1182 Singles/Doubles Points ROOKIE
GAYLE SKINNER,GAYLE SKINNER (CA),1182/1182 Singles/Doubles Points ROOKIE
GB Ellis,GB Ellis (FL),1182/1182 Singles/Doubles Points ROOKIE
GEINER BRENES MORA,GEINER BRENES MORA (CR),1800/1800 Singles/Doubles Points AMATEUR
Genaro Garcia,Genaro Garcia (CA),1182/1182 Singles/Doubles Points ROOKIE
GENE EKLIN,GENE EKLIN (MN),1182/1182 Singles/Doubles Points ROOKIE
GENE EVANS,GENE EVANS (NC),1800/1800 Singles/Doubles Points AMATEUR
GENE GIFFORD,GENE GIFFORD (CA),1800/1800 Singles/Doubles Points AMATEUR
GENE HEIDEL,GENE HEIDEL (CO),1800/1800 Singles/Doubles Points AMATEUR
GENE HIRAYAMA,GENE HIRAYAMA (TX),1800/1800 Singles/Doubles Points AMATEUR
GENE MOSES,GENE MOSES (MN),2166/2166 Singles/Doubles Points EXPERT
GENE NESBITT,GENE NESBITT (NC),1800/1800 Singles/Doubles Points AMATEUR
GENE OLSON,GENE OLSON (MN),1800/1800 Singles/Doubles Points AMATEUR
GENE PADDOCK,GENE PADDOCK (MN),1182/1182 Singles/Doubles Points ROOKIE
GENE SCHECK,GENE SCHECK (UT),802/802 Singles/Doubles Points BEGINNER
GENE STAKES,GENE STAKES (LA),1800/1800 Singles/Doubles Points AMATEUR
GENE SUND,GENE SUND (MI),1182/1182 Singles/Doubles Points ROOKIE
GENE TASO,GENE TASO (NY),1800/1800 Singles/Doubles Points AMATEUR
GENE TENNANT,GENE TENNANT (KY),1968/1936 Singles/Doubles Points AMATEUR
GENEO SCHUETTE,GENEO SCHUETTE (CA),1800/1800 Singles/Doubles Points AMATEUR
GENNESSE RUIZ,GENNESSE RUIZ (CO),1800/1800 Singles/Doubles Points AMATEUR
Geno Abbey,Geno Abbey (MI),1600/1600 Singles/Doubles Points AMATEUR
GENO DELUCENAY,GENO DELUCENAY (WA),1800/1800 Singles/Doubles Points AMATEUR
GENO TOLOMEO,GENO TOLOMEO (FL),801/801 Singles/Doubles Points BEGINNER
GEOFF BRICE,GEOFF BRICE (UK),1800/1800 Singles/Doubles Points AMATEUR
GEOFF HODGES,GEOFF HODGES (PA),1800/1800 Singles/Doubles Points AMATEUR
