BUBBA JENKINS,BUBBA JENKINS (MD),1182/1182 Singles/Doubles Points ROOKIE
Bubba JOHNSON,BUBBA JENKINS (MD),1182/1182 Singles/Doubles Points ROOKIE
BUBBA SUSURAS,Bubba JOHNSON (LA),1864/1916 Singles/Doubles Points AMATEUR
BUCK HUGHES,BUCK HUGHES (ON),1182/1182 Singles/Doubles Points ROOKIE
BUCK WEBB,BUCK WEBB (MD),1182/1182 Singles/Doubles Points ROOKIE
BUCKY ARRINGTON,BUCK WEBB (MD),1182/1182 Singles/Doubles Points ROOKIE
BUCKY NEKZAI,BUCKY ARRINGTON (GA),1182/1182 Singles/Doubles Points ROOKIE
BUCKY NEWBERRY,BUCKY NEWBERRY (TX),1808/1800 Singles/Doubles Points AMATEUR
BUCKY VAN PATTEN,BUCKY VAN PATTEN (NY),1800/1800 Singles/Doubles Points AMATEUR
BUD MATTHEWS,BUD MATTHEWS (TX),1800/1800 Singles/Doubles Points AMATEUR
BUD SPREDEMAN,BUD SPREDEMAN (FL),1804/2017 Singles/Doubles Points EXPERT
BUD WENDLING,BUD WENDLING (WA),1800/1800 Singles/Doubles Points AMATEUR
BUD YORK,BUD YORK (NC),1800/1800 Singles/Doubles Points AMATEUR
Buddy Burchette,Buddy Burchette (NC),1182/1182 Singles/Doubles Points ROOKIE
Buddy Dillow,Buddy Dillow (KY),1800/1800 Singles/Doubles Points AMATEUR
BUDDY HAINES,BUDDY HAINES (IL),1182/1182 Singles/Doubles Points ROOKIE
Buddy Herring,Buddy Herring (TX),801/801 Singles/Doubles Points BEGINNER
BUDDY JOHNSON,BUDDY JOHNSON (OK),1239/2002 Singles/Doubles Points EXPERT
BUDDY LAGANA,BUDDY LAGANA (FL),1800/1800 Singles/Doubles Points AMATEUR
BUDDY LANGENHORST,BUDDY LANGENHORST (IL),1800/1836 Singles/Doubles Points AMATEUR
BUDDY MAUGHON,BUDDY MAUGHON (GA),1182/1182 Singles/Doubles Points ROOKIE
BUDDY MOORE,BUDDY MOORE (TX),1182/1182 Singles/Doubles Points ROOKIE
BUDDY PORTWOOD,BUDDY PORTWOOD (FL),2000/1951 Singles/Doubles Points EXPERT
BUMP VERDE,BUMP VERDE (TX),1800/1800 Singles/Doubles Points AMATEUR
BURKE STRONG,BURKE STRONG (KY),1182/1182 Singles/Doubles Points ROOKIE
