Sarah Klabunde,Sarah Klabunde (),1600/1600 Singles/Doubles Points AMATEUR
SARB BRISEBOIS,SARB BRISEBOIS (XX),1800/1800 Singles/Doubles Points AMATEUR
SARINA SMITH,SARINA SMITH (CA),1182/1182 Singles/Doubles Points / Women's Singles/Doubles Points
SASAN ETEMADI,SASAN ETEMADI (CA),1800/1800 Singles/Doubles Points AMATEUR
SASCHA EMPTER,SASCHA EMPTER (GE),2189/2108 Singles/Doubles Points EXPERT
SASCHA GUSCHEH,SASCHA GUSCHEH (AT),1990/1832 Singles/Doubles Points AMATEUR
Sascha Handloser,Sascha Handloser (),2484/1873 Singles/Doubles Points EXPERT
Sascha Kerwien,Sascha Kerwien (Werl),1600/1600 Singles/Doubles Points AMATEUR
Sascha Ruwisch,Sascha Ruwisch (Solingen),1900/1900 Singles/Doubles Points AMATEUR
Sascha Sehr,Sascha Sehr (Bonn),1600/1600 Singles/Doubles Points AMATEUR
Sascha Thomalla,Sascha Thomalla (Bergholz-Rehbrücke),1600/1600 Singles/Doubles Points AMATEUR
Sascha Urban,Sascha Urban (),1600/1600 Singles/Doubles Points AMATEUR
SATOSHI SHINOHARA,Sascha Urban (),1600/1600 Singles/Doubles Points AMATEUR
Saud ALYASEEN,SATOSHI SHINOHARA (JA),1800/1800 Singles/Doubles Points AMATEUR
SAWNYA KNOBBE,SAWNYA R KNOBBE (NE),1800/1800 Singles/Doubles Points AMATEUR
Schawn Dixie,Schawn Dixie (OH),801/801 Singles/Doubles Points BEGINNER
SCHELLY BLAKNEY,SCHELLY BLAKNEY (OK),1800/1800 Singles/Doubles Points AMATEUR
Scherwin S.,Scherwin S. (),1900/1900 Singles/Doubles Points AMATEUR
SCOOBY SCHARF,SCOOBY SCHARF (IA),1800/1800 Singles/Doubles Points AMATEUR
SCOOTER RYAN,SCOOTER RYAN (MS),1182/1182 Singles/Doubles Points ROOKIE
SCOT ANDERSON,SCOT ANDERSON (WA),1182/1182 Singles/Doubles Points ROOKIE
SCOT MCLELAND,SCOT MCLELAND (AZ),1800/1800 Singles/Doubles Points AMATEUR
Scot Nattrass,Scot Nattrass (MN),801/801 Singles/Doubles Points BEGINNER
SCOT NERREN,SCOT NERREN (GA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT ABRAMS,SCOTT ABRAMS (CO),1182/1182 Singles/Doubles Points ROOKIE
SCOTT ABRAMSON,SCOTT ABRAMSON (MN),1800/1800 Singles/Doubles Points AMATEUR
Scott Adams,Scott Adams (IL),1600/1600 Singles/Doubles Points AMATEUR
SCOTT ADDISON,SCOTT ADDISON (MO),1182/1182 Singles/Doubles Points ROOKIE
SCOTT ANDERSON,SCOTT ANDERSON (MS),1182/1182 Singles/Doubles Points ROOKIE
SCOTT ANDERSON,SCOTT ANDERSON (MS),1182/1182 Singles/Doubles Points ROOKIE
SCOTT ANDRES,SCOTT ANDRES (NY),1800/1800 Singles/Doubles Points AMATEUR
SCOTT ARNSDORF,SCOTT ARNSDORF (WI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT BAKER,SCOTT BAKER (CO),1800/1800 Singles/Doubles Points AMATEUR
SCOTT BARBER,SCOTT BARBER (CO),1800/1800 Singles/Doubles Points AMATEUR
SCOTT BARKER,SCOTT BARBER (CO),1800/1800 Singles/Doubles Points AMATEUR
SCOTT BENNER,SCOTT BARKER (OH),1182/1182 Singles/Doubles Points ROOKIE
SCOTT BENNIS,SCOTT BENNIS (MN),2166/2166 Singles/Doubles Points EXPERT
SCOTT BERGER,SCOTT BERGER (NH),1182/1182 Singles/Doubles Points ROOKIE
SCOTT BEVERS,SCOTT BEVERS (TX),1800/1800 Singles/Doubles Points AMATEUR
SCOTT BIALOUSZ,SCOTT BIALOUSZ (MD),1182/1182 Singles/Doubles Points ROOKIE
SCOTT BITNER,SCOTT BITNER (TX),1800/1800 Singles/Doubles Points AMATEUR
Scott Blackburn,Scott K Blackburn (TX),2136/2298 Singles/Doubles Points EXPERT
SCOTT BLAND,SCOTT BLAND (TX),1800/1800 Singles/Doubles Points AMATEUR
SCOTT BLOEMAN,SCOTT BLOEMAN (MN),1800/1800 Singles/Doubles Points AMATEUR
SCOTT BOSTON,SCOTT BOSTON (NH),1182/1182 Singles/Doubles Points ROOKIE
SCOTT BOWAR,SCOTT BOWAR (SD),1800/1800 Singles/Doubles Points AMATEUR
SCOTT BOWEN,SCOTT BOWEN (OK),1800/1800 Singles/Doubles Points AMATEUR
SCOTT BRANDT,SCOTT BRANDT (AL),1182/1182 Singles/Doubles Points ROOKIE
SCOTT BRANDT,SCOTT BRANDT (AL),1182/1182 Singles/Doubles Points ROOKIE
SCOTT BRIGGS,SCOTT BRIGGS (CO),1800/1800 Singles/Doubles Points AMATEUR
SCOTT BRINLEE,SCOTT BRINLEE (OK),1800/1800 Singles/Doubles Points AMATEUR
SCOTT BROOKS,SCOTT BROOKS (OK),1800/1800 Singles/Doubles Points AMATEUR
SCOTT BUCKO,SCOTT BUCKO (WI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT BUDYNAS,SCOTT BUDYNAS (NY),1800/1800 Singles/Doubles Points AMATEUR
Scott Camden,Scott Camden (OH),801/801 Singles/Doubles Points BEGINNER
SCOTT CAMPBELL,SCOTT A CAMPBELL (TX),1026/1114 Singles/Doubles Points ROOKIE
SCOTT CAREY,SCOTT CAREY (GA),1182/1182 Singles/Doubles Points ROOKIE
SCOTT CHAMBERS,SCOTT CHAMBERS (WA),1182/1182 Singles/Doubles Points ROOKIE
SCOTT CHANG,SCOTT CHANG (CA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT CHAPMAN,SCOTT CHAPMAN (MI),1182/1182 Singles/Doubles Points ROOKIE
SCOTT CHEETWOOD,SCOTT CHEETWOOD (CA),1800/1800 Singles/Doubles Points AMATEUR
Scott Cheney,Scott Cheney (AL),1182/1182 Singles/Doubles Points ROOKIE
SCOTT CONLEY,SCOTT CONLEY (AZ),1800/1800 Singles/Doubles Points AMATEUR
Scott Cook,Scott Cook (),3440/3440 Singles/Doubles Points PRO
SCOTT CZERWINSKI,SCOTT CZERWINSKI (MN),1800/1800 Singles/Doubles Points AMATEUR
SCOTT DAVISON,SCOTT DAVISON (WA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT DAYHUFF,SCOTT DAYHUFF (UT),802/802 Singles/Doubles Points BEGINNER
SCOTT DEEL,SCOTT DEEL (TX),1800/1800 Singles/Doubles Points AMATEUR
Scott Doan,Scott Doan (KY),3445/3404 Singles/Doubles Points PRO
SCOTT DONALDSON,SCOTT DONALDSON (SD),1800/1800 Singles/Doubles Points AMATEUR
SCOTT DORN,SCOTT DORN (WI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT DUDLY,SCOTT DUDLY (TX),1800/1800 Singles/Doubles Points AMATEUR
SCOTT EDEN,SCOTT EDEN (MT),1800/1800 Singles/Doubles Points AMATEUR
SCOTT EDWARDS,SCOTT EDWARDS (CA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT EVERETT,SCOTT EVERETT (TX),1800/1800 Singles/Doubles Points AMATEUR
SCOTT FAIR,SCOTT FAIR (CA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT FAUCHER,SCOTT FAUCHER (CA),1200/1200 Singles/Doubles Points ROOKIE
SCOTT FEITZER,SCOTT FEITZER (WI),1800/1800 Singles/Doubles Points AMATEUR
Scott Ferrell,Scott Ferrell (TX),1800/1800 Singles/Doubles Points AMATEUR
SCOTT FISHER,SCOTT FISHER (CO),1800/1800 Singles/Doubles Points AMATEUR
SCOTT FRAZIER,SCOTT FRAZIER (CO),1800/1800 Singles/Doubles Points AMATEUR
SCOTT FREIDHEIM,SCOTT FREIDHEIM (CT),1182/1182 Singles/Doubles Points ROOKIE
SCOTT FUGET,SCOTT FUGET (CA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT GADBERRY,SCOTT GADBERRY (KY),1182/1182 Singles/Doubles Points ROOKIE
SCOTT GALLUPS,SCOTT GALLUPS (TX),1800/1800 Singles/Doubles Points AMATEUR
SCOTT GIBBS,SCOTT GIBBS (NC),1800/1800 Singles/Doubles Points AMATEUR
SCOTT GILLENWATER,SCOTT GILLENWATER (TX),801/801 Singles/Doubles Points BEGINNER
SCOTT GOFF,"SCOTT ""scottyg"" M GOFF (KY)",1182/1182 Singles/Doubles Points ROOKIE
SCOTT GORDAN,SCOTT GORDAN (NH),1182/1182 Singles/Doubles Points ROOKIE
SCOTT GRAPENTINE,SCOTT GRAPENTINE (WI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT GRAY,SCOTT GRAY (MA),1182/1182 Singles/Doubles Points ROOKIE
SCOTT GREEN,SCOTT GREEN (MI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT GRIMES,SCOTT GRIMES (CA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT GROSS,SCOTT GROSS (MI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT GUNDERSON,SCOTT GUNDERSON (MN),1800/1800 Singles/Doubles Points AMATEUR
SCOTT HALTON,SCOTT HALTON (NC),1800/1800 Singles/Doubles Points AMATEUR
SCOTT HANKINSON,SCOTT HANKINSON (GA),1182/1182 Singles/Doubles Points ROOKIE
SCOTT HASHIMOTO,SCOTT HASHIMOTO (CA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT HEATH,SCOTT HEATH (NC),1182/1182 Singles/Doubles Points ROOKIE
SCOTT HESS,SCOTT HESS (WI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT HOFFMAN,SCOTT HOFFMAN (OK),1800/1800 Singles/Doubles Points AMATEUR
SCOTT HONSINGER,SCOTT HONSINGER (NY),1800/1800 Singles/Doubles Points AMATEUR
SCOTT HUNT,SCOTT HUNT (NC),1182/1182 Singles/Doubles Points ROOKIE
Scott Isleman,Scott Isleman (FL),1182/1182 Singles/Doubles Points ROOKIE
SCOTT JACKSON,SCOTT JACKSON (CA),1800/1800 Singles/Doubles Points AMATEUR
Scott Jensen,"Scott ""BEAR"" M Jensen (CO)",2166/2166 Singles/Doubles Points EXPERT
SCOTT JORDAN,SCOTT JORDAN (MS),1182/1182 Singles/Doubles Points ROOKIE
SCOTT KALBRENNER,SCOTT KALBRENNER (SD),1800/1800 Singles/Doubles Points AMATEUR
SCOTT KERNS,SCOTT KERNS (),1800/1800 Singles/Doubles Points AMATEUR
SCOTT KERR,SCOTT KERR (NY),1800/1800 Singles/Doubles Points AMATEUR
Scott King,"Scott ""No Pull"" King (TX)",4000/3888 Singles/Doubles Points PRO
SCOTT KIRTEN,SCOTT KIRTEN (NV),1800/1800 Singles/Doubles Points AMATEUR
SCOTT KOCHER,SCOTT KOCHER (PA),1624/1640 Singles/Doubles Points AMATEUR
SCOTT KUCERA,SCOTT KUCERA (CO),1800/1800 Singles/Doubles Points AMATEUR
Scott Kuma,Scott Kuma (MO),801/801 Singles/Doubles Points BEGINNER
Scott Kutina,Scott Kutina (OH),861/1012 Singles/Doubles Points ROOKIE
SCOTT LAMB,SCOTT LAMB (OK),1800/1800 Singles/Doubles Points AMATEUR
SCOTT LAMP,SCOTT LAMP (MI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT LARSON,SCOTT LARSON (VT),1182/1182 Singles/Doubles Points ROOKIE
SCOTT LAWSON,SCOTT D LAWSON (),1182/1182 Singles/Doubles Points ROOKIE
SCOTT LEBLANC,SCOTT LEBLANC (LA),1600/1600 Singles/Doubles Points AMATEUR
SCOTT LEFEBER,SCOTT LEFEBER (WI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT LEMON,SCOTT LEMON (CO),1800/1800 Singles/Doubles Points AMATEUR
SCOTT LEWIS,SCOTT LEWIS (OH),1800/1800 Singles/Doubles Points AMATEUR
SCOTT LILEY,SCOTT LILEY (IL),3808/5210 Singles/Doubles Points MASTER
scott linford,scott linford (UT),809/809 Singles/Doubles Points BEGINNER
SCOTT LOFLAND,SCOTT LOFLAND (GA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT LUNDGREN,SCOTT LUNDGREN (MN),1800/1800 Singles/Doubles Points AMATEUR
SCOTT MACLEOD,SCOTT MACLEOD (VT),1182/1182 Singles/Doubles Points ROOKIE
Scott Majors,Scott Majors (TN),800/800 Singles/Doubles Points BEGINNER
SCOTT MANCHESTER,SCOTT MANCHESTER (WA),1182/1182 Singles/Doubles Points ROOKIE
SCOTT MANDELL,SCOTT MANDELL (MD),1182/1182 Singles/Doubles Points ROOKIE
SCOTT MANGAN,SCOTT MANGAN (NJ),1800/1800 Singles/Doubles Points AMATEUR
SCOTT MARSHALL,SCOTT MARSHALL (FL),2071/2724 Singles/Doubles Points EXPERT
SCOTT MARTEL,SCOTT MARSHALL (FL),2071/2724 Singles/Doubles Points EXPERT
SCOTT MAYER,SCOTT MARTEL (NH),1182/1182 Singles/Doubles Points ROOKIE
SCOTT MCALLISTER,SCOTT MCALLISTER (GA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT MCCALLUM,SCOTT MCCALLUM (MA),1182/1182 Singles/Doubles Points ROOKIE
SCOTT MCCLEAN,SCOTT MCCLEAN (NY),1182/1182 Singles/Doubles Points ROOKIE
SCOTT MCDONALD,SCOTT MCDONALD (PA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT MCKENZIE,SCOTT MCKENZIE (MO),1182/1182 Singles/Doubles Points ROOKIE
SCOTT MCKINNON,SCOTT MCKINNON (FL),1800/1800 Singles/Doubles Points AMATEUR
SCOTT MEANS,SCOTT MEANS (TX),1800/1800 Singles/Doubles Points AMATEUR
SCOTT MEWIS,SCOTT MEWIS (XX),1800/1800 Singles/Doubles Points AMATEUR
SCOTT MINYARD,SCOTT MINYARD (TX),1800/1800 Singles/Doubles Points AMATEUR
SCOTT MIROFF,SCOTT MIROFF (OR),1800/1800 Singles/Doubles Points AMATEUR
SCOTT MOHR,SCOTT MOHR (CA),1182/1182 Singles/Doubles Points ROOKIE
SCOTT MOOREFIELD,SCOTT MOOREFIELD (TX),1800/1800 Singles/Doubles Points AMATEUR
Scott Moreland,Scott Moreland (TX),1970/1800 Singles/Doubles Points AMATEUR
SCOTT MURPHY,SCOTT MURPHY (MD),1182/1182 Singles/Doubles Points ROOKIE
SCOTT MUTH,SCOTT MUTH (SD),1800/1800 Singles/Doubles Points AMATEUR
SCOTT MUTSCHLER,SCOTT MUTSCHLER (PA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT NATIONS,SCOTT NATIONS (NC),1182/1182 Singles/Doubles Points ROOKIE
Scott Nay,Scott Nay (UT),800/800 Singles/Doubles Points BEGINNER
SCOTT NAY,Scott Nay (UT),800/800 Singles/Doubles Points BEGINNER
SCOTT NEAL,Scott Nay (UT),800/800 Singles/Doubles Points BEGINNER
SCOTT NELSON,SCOTT NELSON (NY),1182/1182 Singles/Doubles Points ROOKIE
SCOTT NELSON,SCOTT NELSON (NY),1182/1182 Singles/Doubles Points ROOKIE
SCOTT NOBLES,SCOTT W NOBLES (),3100/3117 Singles/Doubles Points PRO
SCOTT OHARE,SCOTT OHARE (FL),5285/3735 Singles/Doubles Points MASTER
SCOTT ORECK,SCOTT ORECK (CO),1182/1182 Singles/Doubles Points ROOKIE
SCOTT OXFORD,SCOTT OXFORD (TX),1800/1800 Singles/Doubles Points AMATEUR
SCOTT PADGETT,SCOTT PADGETT (GA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT PALMER,SCOTT PADGETT (GA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT PEIFFER,SCOTT PALMER (GA),1800/1800 Singles/Doubles Points AMATEUR
Scott Perry,Scott Perry (OH),1031/1030 Singles/Doubles Points ROOKIE
SCOTT PETERSEN,SCOTT PETERSEN (IA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT PICKETT,SCOTT PICKETT (WI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT PIERCE,SCOTT PIERCE (GA),1800/1784 Singles/Doubles Points AMATEUR
SCOTT PIERSON,SCOTT PIERSON (MN),1800/1800 Singles/Doubles Points AMATEUR
SCOTT PIETIG,SCOTT PIETIG (MN),1800/1800 Singles/Doubles Points AMATEUR
SCOTT PIOVESAN,SCOTT PIOVESAN (OK),1800/1800 Singles/Doubles Points AMATEUR
SCOTT PONWITH,SCOTT PONWITH (SD),1800/1800 Singles/Doubles Points AMATEUR
SCOTT POPPEL,SCOTT POPPEL (GA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT QUEEN,SCOTT QUEEN (NC),1800/1800 Singles/Doubles Points AMATEUR
SCOTT R. SUGENT,SCOTT R. SUGENT (CA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT RAMSAY,SCOTT RAMSAY (NY),2420/2731 Singles/Doubles Points EXPERT
Scott Ramsdell,Scott Ramsdell (SD),801/801 Singles/Doubles Points BEGINNER
SCOTT REEVES,SCOTT REEVES (AZ),1800/1800 Singles/Doubles Points AMATEUR
Scott Reynolds,Scott Reynolds (UT),1800/1800 Singles/Doubles Points AMATEUR
SCOTT RICHEY,SCOTT RICHEY (GA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT ROBERTS,SCOTT ROBERTS (NC),1800/1800 Singles/Doubles Points AMATEUR
SCOTT ROBEY,SCOTT ROBEY (TX),1800/1800 Singles/Doubles Points AMATEUR
SCOTT ROBINSON,SCOTT ROBINSON (TX),1800/1800 Singles/Doubles Points AMATEUR
Scott Rodriguez,SCOTT RODRIGUEZ (CO),2256/2710 Singles/Doubles Points EXPERT
SCOTT RODRIGUEZ,SCOTT RODRIGUEZ (CO),2256/2710 Singles/Doubles Points EXPERT
SCOTT ROGERS,SCOTT RODRIGUEZ (CO),2256/2710 Singles/Doubles Points EXPERT
SCOTT ROWLAND,SCOTT ROWLAND (CA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT ROWLEY,SCOTT ROWLEY (UT),802/802 Singles/Doubles Points BEGINNER
SCOTT RUEL,SCOTT RUEL (MI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT RUSCH,SCOTT RUSCH (WI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT RUSSELL,SCOTT RUSSELL (TX),1800/1800 Singles/Doubles Points AMATEUR
Scott Sailor,Scott Sailor (NY),1216/1423 Singles/Doubles Points ROOKIE
SCOTT SCHAEFBAUER,SCOTT SCHAEFBAUER (SD),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SCHMIDT,SCOTT SCHMIDT (MD),1182/1182 Singles/Doubles Points ROOKIE
SCOTT SCHNEWEIS,SCOTT SCHNEWEIS (MN),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SCHROEDER,SCOTT SCHROEDER (MI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SCHULENBURG,SCOTT SCHULENBURG (ON),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SCHUMACHER,SCOTT SCHUMACHER (SD),1800/1800 Singles/Doubles Points AMATEUR
Scott Seeley,Scott Seeley (NC),1182/1182 Singles/Doubles Points ROOKIE
SCOTT SELLECK,SCOTT SELLECK (CO),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SERNA,SCOTT SERNA (AL),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SHAFER,SCOTT SERNA (AL),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SHERMAN,SCOTT SHAFER (FL),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SHIPLEY,SCOTT SHIPLEY (IL),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SHOLK,SCOTT SHOLK (OH),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SILLETT,SCOTT SILLETT (OH),1182/1182 Singles/Doubles Points ROOKIE
SCOTT SIMON,SCOTT SIMON (NY),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SINCLAIR,SCOTT SINCLAIR (TX),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SINE,SCOTT SINE (FL),2253/2177 Singles/Doubles Points EXPERT
SCOTT SINGRATSOMBOUNE,SCOTT SINGRATSOMBOUNE (OH),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SMILEDGE,SCOTT SMILEDGE (MA),1182/1182 Singles/Doubles Points ROOKIE
SCOTT SMITS,SCOTT SMITS (AZ),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SNOWDEN,SCOTT SNOWDEN (),2024/2095 Singles/Doubles Points EXPERT
SCOTT SPEARS,SCOTT SPEARS (GA),1182/1182 Singles/Doubles Points ROOKIE
SCOTT SPRATT,SCOTT SPRATT (OK),1800/1800 Singles/Doubles Points AMATEUR
SCOTT STAMATAKIS,SCOTT STAMATAKIS (FL),1872/1900 Singles/Doubles Points AMATEUR
Scott Stanfield,"Scott ""stan"" Stanfield (WI)",1182/1182 Singles/Doubles Points ROOKIE
Scott Stanley,Scott Stanley (GA),801/801 Singles/Doubles Points BEGINNER
SCOTT STEIGER,SCOTT STEIGER (VA),1182/1182 Singles/Doubles Points ROOKIE
SCOTT STENO,SCOTT STENO (WI),1800/1800 Singles/Doubles Points AMATEUR
SCOTT STEVENS,SCOTT STEVENS (OK),1800/1800 Singles/Doubles Points AMATEUR
SCOTT STEVENSON,SCOTT STEVENSON (OK),1800/1800 Singles/Doubles Points AMATEUR
SCOTT STEWART,SCOTT STEWART (CA),3440/3440 Singles/Doubles Points PRO
SCOTT STRIPE,SCOTT STRIPE (NY),1800/1800 Singles/Doubles Points AMATEUR
SCOTT STRONG,SCOTT STRONG (TN),1182/1182 Singles/Doubles Points ROOKIE
SCOTT SULLIVAN,SCOTT SULLIVAN (OK),1800/1800 Singles/Doubles Points AMATEUR
SCOTT SUMNER,SCOTT SUMNER (TX),2166/2166 Singles/Doubles Points / Women's Singles/Doubles Points
SCOTT SUTTON,SCOTT SUTTON (MN),1182/1182 Singles/Doubles Points ROOKIE
Scott Swangim,Scott Swangim (NC),1134/1009 Singles/Doubles Points ROOKIE
Scott Sweeting,Scott Sweeting (NY),1515/1713 Singles/Doubles Points AMATEUR
Scott Tays,Scott Tays (MO),1224/1758 Singles/Doubles Points AMATEUR
SCOTT THIELEN,SCOTT THIELEN (XX),1800/1800 Singles/Doubles Points AMATEUR
SCOTT THOMAS,SCOTT THOMAS (ID),1800/1800 Singles/Doubles Points AMATEUR
SCOTT THOMAS,SCOTT THOMAS (ID),1800/1800 Singles/Doubles Points AMATEUR
SCOTT THOMPSON,SCOTT THOMAS (ID),1800/1800 Singles/Doubles Points AMATEUR
SCOTT TIERNEY,SCOTT TIERNEY (MN),1800/1800 Singles/Doubles Points AMATEUR
SCOTT TODOROKI,SCOTT TODOROKI (ON),1800/1800 Singles/Doubles Points AMATEUR
SCOTT TREKAUSKAS,SCOTT TREKAUSKAS (OH),1182/1182 Singles/Doubles Points ROOKIE
SCOTT TRIKONES,SCOTT TRIKONES (OH),1182/1182 Singles/Doubles Points ROOKIE
SCOTT TRUELINGER,SCOTT TRUELINGER (OH),1182/1182 Singles/Doubles Points ROOKIE
SCOTT URQUHART,SCOTT URQUHART (WA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT USHER,SCOTT USHER (CA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT VANHEUKLON,SCOTT VANHEUKLON (WI),1768/1835 Singles/Doubles Points AMATEUR
SCOTT WASHBURN,SCOTT WASHBURN (MN),1800/1800 Singles/Doubles Points AMATEUR
SCOTT WEATHERRED,SCOTT WEATHERRED (NM),1800/1800 Singles/Doubles Points AMATEUR
SCOTT WEST,SCOTT WEST (GA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT WHATLEY,SCOTT WHATLEY (MS),1182/1182 Singles/Doubles Points ROOKIE
scott wheeler,scott wheeler (CO),1800/1800 Singles/Doubles Points AMATEUR
Scott Wiersdorf,Scott Wiersdorf (UT),811/811 Singles/Doubles Points BEGINNER
Scott Wilcox,Scott Wilcox (NV),801/801 Singles/Doubles Points BEGINNER
Scott Wisher,Scott A Wisher (CO),1600/1600 Singles/Doubles Points AMATEUR
Scott Wright,Scott Wright (KY),400/400 Singles/Doubles Points JUNIOR AMATEUR
SCOTT WYDMAN,SCOTT WYDMAN (CO),5200/5200 Singles/Doubles Points MASTER
SCOTT YANCEY,SCOTT YANCEY (LA),1800/1800 Singles/Doubles Points AMATEUR
SCOTT YOUNG,SCOTT YOUNG (TX),1600/1600 Singles/Doubles Points AMATEUR
Scott Younger,Scott Younger (CA),801/801 Singles/Doubles Points BEGINNER
Scottie Long,Scottie Long (VA),1800/1800 Singles/Doubles Points AMATEUR
SCOTTY CRAWFORD,SCOTTY CRAWFORD (TX),1182/1182 Singles/Doubles Points ROOKIE
SCOTTY GENOVA,SCOTTY GENOVA (OH),1800/1800 Singles/Doubles Points AMATEUR
SCOTTY MCCOLLUM,SCOTTY GENOVA (OH),1800/1800 Singles/Doubles Points AMATEUR
SCOTTY SCOTT,SCOTTY MCCOLLUM (TX),1182/1182 Singles/Doubles Points ROOKIE
SEAN ADAMS,SEAN ADAMS (CO),1182/1182 Singles/Doubles Points ROOKIE
SEAN AFRICK,SEAN AFRICK (NV),1182/1182 Singles/Doubles Points ROOKIE
SEAN BAGBY,SEAN BAGBY (AZ),801/801 Singles/Doubles Points BEGINNER
Sean Baker,Sean Baker (NY),200/200 Singles/Doubles Points JUNIOR AMATEUR
SEAN BARTHOLOME,SEAN BARTHOLOME (TX),1800/1800 Singles/Doubles Points AMATEUR
SEAN CHAPMAN,SEAN CHAPMAN (MI),1100/1100 Singles/Doubles Points ROOKIE
SEAN CHIN,SEAN CHIN (GA),1800/1800 Singles/Doubles Points AMATEUR
Sean Clark,Sean Clark (IN),2200/2223 Singles/Doubles Points EXPERT
Sean Coffey,Sean Coffey (OK),1229/1216 Singles/Doubles Points ROOKIE
SEAN COLLINS,SEAN COLLINS (FL),1800/1800 Singles/Doubles Points AMATEUR
Sean Doyle,Sean Doyle (IL),801/801 Singles/Doubles Points BEGINNER
SEAN DUGAN,SEAN DUGAN (AZ),1182/1270 Singles/Doubles Points ROOKIE
SEAN DYKE,SEAN DYKE (OH),1800/1800 Singles/Doubles Points AMATEUR
SEAN EDWARDS,SEAN EDWARDS (IL),1800/1800 Singles/Doubles Points AMATEUR
SEAN GATES,SEAN GATES (CA),1800/1800 Singles/Doubles Points AMATEUR
Sean Greene,Sean Greene (NC),4262/4227 Singles/Doubles Points PRO
SEAN GUSTAVSON,SEAN GUSTAVSON (FL),1800/1800 Singles/Doubles Points AMATEUR
Sean Harding,Sean Harding (TX),2170/2160 Singles/Doubles Points EXPERT
Sean Harkins,Sean R Harkins (WI),1600/1643 Singles/Doubles Points AMATEUR
SEAN HENNESSEY,SEAN D HENNESSEY (LA),1400/1464 Singles/Doubles Points ROOKIE
Sean Hennessy,Sean Hennessy (CO),801/801 Singles/Doubles Points BEGINNER
Sean Kapsal,Sean Kapsal (OH),1600/1600 Singles/Doubles Points AMATEUR
SEAN KIRKPATRICK,SEAN KIRKPATRICK (OH),1800/1800 Singles/Doubles Points AMATEUR
SEAN LAKE,SEAN LAKE (NY),1800/1800 Singles/Doubles Points AMATEUR
SEAN LAKTASH,SEAN LAKTASH (CA),1182/1182 Singles/Doubles Points ROOKIE
Sean Lebrun,Sean Lebrun (MA),801/801 Singles/Doubles Points BEGINNER
Sean Lee,"Sean ""Rocket Man"" Lee (CAN)",3596/4220 Singles/Doubles Points PRO
SEAN LIGHTLE,SEAN LIGHTLE (NM),1800/1800 Singles/Doubles Points AMATEUR
SEAN LOTTERHOS,SEAN LOTTERHOS (NY),2505/2890 Singles/Doubles Points EXPERT
SEAN MACKOOL,SEAN MACKOOL (OK),1800/1800 Singles/Doubles Points AMATEUR
SEAN MARTIN,SEAN MARTIN (OH),1800/1800 Singles/Doubles Points AMATEUR
