Rene Arzoumanian,Rene Arzoumanian (CA),801/801 Singles/Doubles Points BEGINNER
Rene Berntsen,Rene Berntsen (Emmerich),1600/1600 Singles/Doubles Points AMATEUR
RENE DAVILA,RENE DAVILA (TX),1800/1800 Singles/Doubles Points AMATEUR
RENE DECELAK,RENE DECELAK (AT),1800/1800 Singles/Doubles Points AMATEUR
Rene Hoffmann,Rene Hoffmann (),1600/1600 Singles/Doubles Points AMATEUR
RENE MARTIN,RENE MARTIN (TX),1800/1800 Singles/Doubles Points / Women's Singles/Doubles Points
Rene Reiland,Rene Reiland (Mannheim),2600/2600 Singles/Doubles Points EXPERT
RENE ROCHA,RENE ROCHA (TX),1182/1182 Singles/Doubles Points ROOKIE
Rene Rudolph,Rene Rudolph (),2600/2600 Singles/Doubles Points EXPERT
RENE SANCHEZ,RENE SANCHEZ (TX),1800/1800 Singles/Doubles Points AMATEUR
Rene von Zaluski,Rene von Zaluski (Würzburg),1600/1600 Singles/Doubles Points AMATEUR
RENEE CLINARD,RENEE CLINARD (KY),1800/1800 Singles/Doubles Points AMATEUR
RENEE MAGILL,RENEE MAGILL (GA),1182/1182 Singles/Doubles Points ROOKIE
RENEE PRINCE,RENEE PRINCE (MA),1182/1182 Singles/Doubles Points ROOKIE
RENEE ZUEGE,RENEE ZUEGE (TX),1800/1800 Singles/Doubles Points AMATEUR
RENO KNUDTSON,RENO KNUDTSON (IL),1800/1800 Singles/Doubles Points AMATEUR
RESLEY HINTON,RESLEY HINTON (MO),1800/1800 Singles/Doubles Points AMATEUR
RESZAT MARTIN,RESZAT MARTIN (GE),1800/1800 Singles/Doubles Points AMATEUR
Reto Rappold,Reto Rappold (Aathal),1600/1600 Singles/Doubles Points AMATEUR
REUBEN HUFF,REUBEN HUFF (OH),1182/1182 Singles/Doubles Points ROOKIE
REUBEN RODRIGUEZ,REUBEN RODRIGUEZ (CA),1800/1800 Singles/Doubles Points AMATEUR
REX BENNETT,REX E BENNETT (OK),2448/2389 Singles/Doubles Points EXPERT
REX CASTLE,REX CASTLE (IA),1800/1800 Singles/Doubles Points AMATEUR
REX DEYONGA,REX DEYONGA (SD),1800/1800 Singles/Doubles Points AMATEUR
REX SPRINGER,REX SPRINGER (MT),1800/1800 Singles/Doubles Points AMATEUR
Rex Wall,Rex Wall (TX),1600/1600 Singles/Doubles Points AMATEUR
REY COOK,COREY COOK (ID),1800/1800 Singles/Doubles Points AMATEUR
